Simple Test
n,simple_total,simple
4096,64,112,5574,15550170,1.00117
4096,64,113,6021,18144401,1.00117
4096,64,114,6502,21159357,1.00116
4096,64,115,7023,24686286,1.00116
4096,64,116,7585,28795462,1.00115
4096,64,117,8192,33585176,1.00104
4096,64,118,8848,39183606,1.00114
4096,64,119,9557,45714907,1.00113
4096,64,120,10322,53326482,1.00112
4096,64,121,11148,62202651,1.00111
4096,64,122,12041,72567119,1.00111
4096,64,123,13004,84638511,1.0011
4096,64,124,14046,98745862,1.00109
4096,64,125,15170,115181848,1.00109
4096,64,126,16384,134346768,1.00102

Cache Test (Recursive)
B,C,k,n,recursive_total,recursive
64,64,54,64,256,0.126984
64,64,55,70,544,0.225259
64,64,56,75,621,0.223784
64,64,57,81,704,0.217284
64,64,58,88,789,0.206113
64,64,59,95,912,0.204255
64,64,60,102,1030,0.199961
64,64,61,110,1167,0.194662
64,64,62,119,1326,0.188862
64,64,63,128,1024,0.125984
64,64,64,139,2218,0.231258
64,64,65,150,2531,0.226488
64,64,66,162,2854,0.218848
64,64,67,175,3219,0.211429
64,64,68,189,3651,0.205505
64,64,69,204,4131,0.199507
64,64,70,220,4674,0.194022
64,64,71,238,5325,0.18881
64,64,72,256,4096,0.12549
64,64,73,277,8888,0.232512
64,64,74,299,10067,0.225966
64,64,75,323,11361,0.218468
64,64,76,349,12844,0.211507
64,64,77,377,14535,0.205076
64,64,78,407,16449,0.19909
64,64,79,439,18616,0.193632
64,64,80,475,21222,0.188514
64,64,81,512,16384,0.125245
64,64,82,553,35579,0.233109
64,64,83,598,40288,0.225699
64,64,84,646,45459,0.218201
64,64,85,697,51265,0.211353
64,64,86,753,58023,0.204936
64,64,87,813,65696,0.199032
64,64,88,878,74515,0.193544
64,64,89,949,84755,0.188417
64,64,90,1024,65536,0.125122
64,64,91,1106,142563,0.233303
64,64,92,1195,160940,0.225591
64,64,93,1291,181606,0.218094
64,64,94,1394,205081,0.211223
64,64,95,1506,232105,0.204811
64,64,96,1626,262791,0.198915
64,64,97,1756,298071,0.193441
64,64,98,1897,338730,0.188355
64,64,99,2048,262144,0.125061
64,64,100,2212,569765,0.232998
64,64,101,2390,643798,0.22551
64,64,102,2581,726054,0.218068
64,64,103,2787,819869,0.211182
64,64,104,3011,927921,0.204769
64,64,105,3251,1050647,0.198878
64,64,106,3512,1192308,0.19339
64,64,107,3793,1354323,0.188322
64,64,108,4096,1048576,0.125031
64,64,109,4424,2281423,0.233187
64,64,110,4779,2574356,0.225484
64,64,111,5161,2903355,0.218045
64,64,112,5574,3279569,0.21115
64,64,113,6021,3710786,0.204753
64,64,114,6502,4202701,0.198853
64,64,115,7023,4767923,0.193364
64,64,116,7585,5416133,0.188307
64,64,117,8192,4194304,0.125015
64,64,118,8848,9132615,0.233337
64,64,119,9557,10295688,0.225469
64,64,120,10322,11613479,0.218025
64,64,121,11148,13118339,0.211132
64,64,122,12041,14841220,0.204744
64,64,123,13004,16810872,0.198838
64,64,124,14046,19072646,0.19336
64,64,125,15170,21664593,0.188295
64,64,126,16384,16777216,0.125008
64,1024,54,64,256,0.126984
64,1024,55,70,307,0.127122
64,1024,56,75,352,0.126847
64,1024,57,81,410,0.126543
64,1024,58,88,484,0.126437
64,1024,59,95,564,0.126316
64,1024,60,102,651,0.126383
64,1024,61,110,757,0.126272
64,1024,62,119,885,0.12605
64,1024,63,128,1024,0.125984
64,1024,64,139,1256,0.130956
64,1024,65,150,1509,0.135034
64,1024,66,162,1832,0.14048
64,1024,67,175,2119,0.139179
64,1024,68,189,2455,0.138185
64,1024,69,204,2887,0.139428
64,1024,70,220,3352,0.139145
64,1024,71,238,3936,0.13956
64,1024,72,256,4096,0.12549
64,1024,73,277,5283,0.138204
64,1024,74,299,6292,0.141231
64,1024,75,323,7428,0.142838
64,1024,76,349,8598,0.141587
64,1024,77,377,9945,0.140315
64,1024,78,407,11803,0.142857
64,1024,79,439,13635,0.141823
64,1024,80,475,15827,0.140591
64,1024,81,512,16384,0.125245
64,1024,82,553,21238,0.139149
64,1024,83,598,25560,0.143191
64,1024,84,646,29828,0.143173
64,1024,85,697,34447,0.142017
64,1024,86,753,39851,0.140753
64,1024,87,813,47407,0.143624
64,1024,88,878,54765,0.142246
64,1024,89,949,63405,0.140955
64,1024,90,1024,65536,0.125122
64,1024,91,1106,85037,0.139162
64,1024,92,1195,102449,0.143604
64,1024,93,1291,118995,0.142903
64,1024,94,1394,137640,0.141762
64,1024,95,1506,158861,0.14018
64,1024,96,1626,189629,0.143536
64,1024,97,1756,219059,0.142164
64,1024,98,1897,253367,0.140888
64,1024,99,2048,262144,0.125061
64,1024,100,2212,340632,0.139297
64,1024,101,2390,410133,0.143662
64,1024,102,2581,475035,0.142675
64,1024,103,2787,548829,0.141367
64,1024,104,3011,635094,0.140149
64,1024,105,3251,758084,0.143498
64,1024,106,3512,876239,0.142124
64,1024,107,3793,1012965,0.140855
64,1024,108,4096,1048576,0.125031
64,1024,109,4424,1372018,0.140235
64,1024,110,4779,1641507,0.143777
64,1024,111,5161,1898225,0.142559
64,1024,112,5574,2195399,0.141347
64,1024,113,6021,2538154,0.14005
64,1024,114,6502,3032362,0.143478
